"pid3","weight","bias_wsj","bias_pbs","bias_npr","bias_cbs","bias_usa","bias_abc","bias_drg","bias_fox","bias_huf","bias_nyt"
"Not sure",1.21451063980425,"7 - Conservative or pro-Republican party bias","2","2","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Independent ",1.39196955152836,"3","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","3","3","3","3","3"
"Democrat ",1.42513885806255,"6","4 - No bias at all","6","4 - No bias at all","6","5","4 - No bias at all","4 - No bias at all","5","5"
"Democrat ",1.00752770664113,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.609212411329635,"3","3","2","3","3","3","3","6","3","3"
"Republican ",1.29710138303235,"2","4 - No bias at all","3","2","3","2","4 - No bias at all","6","3","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.10136179960778,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",1.18624358675689,"3","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","5","4 - No bias at all"
"Republican ",1.16183159702502,"3","5","4 - No bias at all","4 - No bias at all","5","5","4 - No bias at all","3","4 - No bias at all","4 - No bias at all"
"Not sure",0.819867757562202,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.986793553636056,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.18624358675689,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.27651652916627,"7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","6","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Democrat ",0.724227180776517,"5","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","3","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias"
"Democrat ",0.600800788910784,"5","4 - No bias at all","5","3","5","3","5","7 - Conservative or pro-Republican party bias","3","5"
"Independent ",1.12760620064093,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.21451063980425,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.39196955152836,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","6","6","6","4 - No bias at all","7 - Conservative or pro-Republican party bias","6","7 - Conservative or pro-Republican party bias"
"Democrat ",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.35591374398098,"7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias",NA,"1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias",NA,NA,NA
"Democrat ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.24680632386779,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.25889119052398,"5","4 - No bias at all","5","3","3","5","5","7 - Conservative or pro-Republican party bias","3","5"
"Independent ",0.819867757562202,"6","3","3","3","5","3","6","7 - Conservative or pro-Republican party bias","2","3"
"Independent ",0.600800788910784,"6","5","4 - No bias at all","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","5"
"Democrat ",0.600800788910784,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.567692203057534,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","5","3","5","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.32762167737989,"4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Democrat ",1.39196955152836,"5","4 - No bias at all","4 - No bias at all","3","3","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","3","5"
"Republican ",0.819867757562202,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.680141823754453,"1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Independent ",1.05671757335916,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.16183159702502,"6","4 - No bias at all","4 - No bias at all","5","5","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Democrat ",0.567692203057534,"5","4 - No bias at all","4 - No bias at all","3","3","5","3","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Republican ",0.6881998013553,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.23409559892381,"5","1 - Liberal or pro-Democratic party bias","2","4 - No bias at all","5","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias"
"Independent ",0.633787498642761,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.609212411329635,"4 - No bias at all","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.819867757562202,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","2","3","3","4 - No bias at all","5",NA,"2"
"Independent ",0.680141823754453,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","3","2","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.603001718261567,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.633787498642761,"4 - No bias at all","3","3","3","5","3","7 - Conservative or pro-Republican party bias","6","1 - Liberal or pro-Democratic party bias","3"
"Republican ",0.986793553636056,"5","2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.609212411329635,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","4 - No bias at all"
"Independent ",0.6881998013553,"7 - Conservative or pro-Republican party bias","5","5","6","7 - Conservative or pro-Republican party bias","6","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","6"
"Not sure",1.50294581095031,"4 - No bias at all","4 - No bias at all","5","3","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","3"
"Republican ",1.05896624448484,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.04434470356207,"6","2","2","3","5","3","6","7 - Conservative or pro-Republican party bias","2","3"
"Republican ",0.734366857192731,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.00752770664113,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",1.21451063980425,"4 - No bias at all","4 - No bias at all","4 - No bias at all","5","5","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","3"
"Not sure",1.24680632386779,"2","4 - No bias at all","4 - No bias at all","5","5","5","6","7 - Conservative or pro-Republican party bias","3","2"
"Republican ",1.18225961819515,"1 - Liberal or pro-Democratic party bias","3","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","2","7 - Conservative or pro-Republican party bias","5","1 - Liberal or pro-Democratic party bias"
"Republican ",1.16183159702502,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all"
"Democrat ",1.67793085934152,"4 - No bias at all","3","5","3","3","3","3","5","5","4 - No bias at all"
"Republican ",0.680141823754453,"1 - Liberal or pro-Democratic party bias","3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","1 - Liberal or pro-Democratic party bias","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.680141823754453,"7 - Conservative or pro-Republican party bias","3","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","3"
"Democrat ",1.24680632386779,"4 - No bias at all","5","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Democrat ",1.50294581095031,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","7 - Conservative or pro-Republican party bias"
"Democrat ",1.18225961819515,"4 - No bias at all","3","3","3","4 - No bias at all","3","3","7 - Conservative or pro-Republican party bias","3","3"
"Independent ",0.986793553636056,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.24680632386779,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.603001718261567,"7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Republican ",1.07151234293091,"1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.18225961819515,"7 - Conservative or pro-Republican party bias","3","3","5","4 - No bias at all","3","6","7 - Conservative or pro-Republican party bias","5","5"
"Democrat ",1.05896624448484,"6","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","6"
"Independent ",0.633787498642761,"3","2","2","2","3","2","5","4 - No bias at all","2","1 - Liberal or pro-Democratic party bias"
"Republican ",0.819867757562202,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","2","1 - Liberal or pro-Democratic party bias"
"Republican ",1.05896624448484,"4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.609212411329635,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","3"
"Republican ",1.42513885806255,"4 - No bias at all","4 - No bias at all","3","3","4 - No bias at all","3","4 - No bias at all","5","3","2"
"Republican ",0.819867757562202,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","6","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.609212411329635,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","2","1 - Liberal or pro-Democratic party bias","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.25889119052398,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.633787498642761,"3","3","2","3","5","2","2","7 - Conservative or pro-Republican party bias","6","2"
"Republican ",0.567692203057534,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","2","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","2"
"Republican ",1.27651652916627,"2","4 - No bias at all","4 - No bias at all","3","3","2","4 - No bias at all","5","4 - No bias at all","4 - No bias at all"
"Republican ",1.05896624448484,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all"
"Democrat ",1.67793085934152,"7 - Conservative or pro-Republican party bias","2","3","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.819867757562202,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","3","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",0.819867757562202,"5","2","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","3"
"Democrat ",0.609212411329635,"6","4 - No bias at all","4 - No bias at all","2","5","3","6","7 - Conservative or pro-Republican party bias","2","3"
"Democrat ",1.10168400176603,"6","4 - No bias at all","3","3","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","3"
"Independent ",1.19626643440477,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","2","4 - No bias at all","5","2","1 - Liberal or pro-Democratic party bias"
"Republican ",1.50294581095031,"5","3","2","3","3","3","6","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.6881998013553,"4 - No bias at all","3","2","3","2","3","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","2"
"Independent ",0.986793553636056,"4 - No bias at all","2","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","5","2","1 - Liberal or pro-Democratic party bias"
"Independent ",0.986793553636056,"4 - No bias at all","2","2","2","3","2","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.680141823754453,"6","2","2","2","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","6","3","2"
"Independent ",0.734366857192731,"4 - No bias at all","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","5"
"Democrat ",0.734366857192731,"2","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.07151234293091,"5","2","1 - Liberal or pro-Democratic party bias","2","3","2","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.6881998013553,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","2","5","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.680141823754453,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","6","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.819867757562202,"6","4 - No bias at all","2","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Independent ",0.6881998013553,"6","4 - No bias at all","5","5","5","6","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","5"
"Independent ",1.42513885806255,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","6","4 - No bias at all","1 - Liberal or pro-Democratic party bias"
"Republican ",1.27651652916627,"4 - No bias at all","2","1 - Liberal or pro-Democratic party bias","2","4 - No bias at all","2","2","5","3","3"
"Republican ",0.633787498642761,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.27651652916627,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","3","4 - No bias at all","3","4 - No bias at all","2","2"
"Independent ",0.819867757562202,"1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","2","2","1 - Liberal or pro-Democratic party bias","2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","4 - No bias at all"
"Independent ",1.59642655223364,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.50294581095031,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",0.567692203057534,"7 - Conservative or pro-Republican party bias","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
